Crop,Disease,Symptoms,Solution
Rice,Rice Blast,"Leaf lesions with gray center and brown border, stunted growth, neck rot on panicles","Use resistant varieties, apply proper nitrogen fertilizer, avoid excessive irrigation, use fungicides like Tricyclazole"
Rice,Bacterial Leaf Blight,"Yellowing and wilting of leaves, V-shaped lesions from leaf tip","Use resistant varieties, maintain proper spacing, avoid high nitrogen, apply copper-based bactericides"
Rice,Sheath Blight,"Irregular greenish-gray lesions on leaf sheath, lodging of plants","Use resistant varieties, maintain proper plant spacing, apply fungicides like Validamycin"
Rice,Brown Spot,"Small brown lesions on leaves, reduced tillering, poor grain filling","Use balanced fertilizers (esp. potassium), seed treatment, fungicides like Mancozeb"
Rice,Tungro Virus,"Stunted plants, yellow-orange discoloration of leaves, reduced tillering","Use virus-free seedlings, control vector (leafhopper), grow resistant varieties"
Rice,False Smut,"Greenish spore balls on grains, grain deformation","Remove infected plants, balanced nitrogen application, fungicides like Carbendazim"
Rice,Neck Blast,"Lesions on the neck of panicle, poor grain filling, panicle drying","Plant resistant varieties, proper nitrogen management, fungicides like Tricyclazole"
Rice,Stem Rot,"Softening and rotting of stem, yellowing of leaves, plant collapse","Improve drainage, crop rotation, apply fungicides like Pencycuron"
Rice,Leaf Smut,"Black powdery spores on leaves, stunted growth","Use resistant varieties, avoid prolonged leaf wetness, apply fungicides"
Rice,Rice Root-Knot Nematode,"Root galls, stunted growth, yellow leaves, reduced tillering","Use nematode-resistant varieties, crop rotation, soil solarization, nematicides"
Wheat,Leaf Rust,"Small reddish-brown pustules on leaves, yellowing, reduced photosynthesis","Use resistant varieties, fungicides like Propiconazole, crop rotation"
Wheat,Stem Rust,"Reddish-brown elongated pustules on stem and leaf, weak stems, lodging","Resistant varieties, timely fungicide application, remove volunteer wheat"
Wheat,Stripe Rust,"Yellow-orange stripes on leaves, stunted growth, yield loss","Grow resistant varieties, fungicides like Tebuconazole, avoid early sowing"
Wheat,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Resistant varieties, fungicides like Sulfur or Myclobutanil, proper spacing"
Wheat,Fusarium Head Blight,"Bleached spikelets, pink mold on grains, shriveled kernels","Crop rotation, resistant varieties, fungicides like Tebuconazole at flowering"
Wheat,Tan Spot,"Small tan lesions with yellow halo on leaves, reduced grain filling","Crop rotation, remove crop residues, fungicides like Azoxystrobin"
Wheat,Septoria Leaf Blotch,"Irregular brown lesions with dark borders, leaf necrosis","Use resistant varieties, fungicides, crop residue management"
Wheat,Karnal Bunt,"Partial kernel infection, black powdery sori, reduced quality","Use certified seeds, crop rotation, resistant varieties"
Wheat,Loose Smut,"Black powdery spores replacing grains, reduced yield","Use disease-free seeds, seed treatment with fungicides like Carboxin"
Wheat,Take-All,"Blackened roots, stunted growth, premature yellowing","Crop rotation, liming acidic soils, fungicides like Thiram"
Tomato,Early Blight,"Dark brown concentric lesions on older leaves, yellowing and leaf drop","Use resistant varieties, remove infected leaves, apply fungicides like Mancozeb or Chlorothalonil"
Tomato,Late Blight,"Water-soaked lesions on leaves and stems, white fungal growth, fruit rot","Use resistant varieties, proper drainage, fungicides like Metalaxyl + Mancozeb"
Tomato,Septoria Leaf Spot,Small circular spots with gray centers and dark borders on leaves,"Remove infected leaves, crop rotation, apply fungicides like Copper oxychloride"
Tomato,Fusarium Wilt,"Yellowing of lower leaves, wilting, brown streaks in vascular tissue","Use resistant varieties, soil solarization, avoid planting in infected soil"
Tomato,Verticillium Wilt,"Stunted growth, yellowing leaves (often one side), vascular browning","Grow resistant varieties, crop rotation, improve soil drainage"
Tomato,Tomato Mosaic Virus,"Mottled light and dark green leaves, distorted leaves, poor fruit set","Use virus-free seedlings, rogue infected plants, disinfect tools"
Tomato,Bacterial Spot,"Small water-soaked spots on leaves, leaf drop, fruit lesions","Use certified seeds, copper-based bactericides, crop rotation"
Tomato,Bacterial Canker,"Wilting of plants, dark streaks on stems, bird’s-eye spots on fruits","Remove infected plants, use disease-free seeds, copper sprays"
Tomato,Powdery Mildew,"White powdery growth on leaves, curling and yellowing","Remove affected leaves, ensure air circulation, apply fungicides like Sulfur"
Tomato,Root-Knot Nematode,"Galls on roots, stunted plants, yellowing leaves, reduced yield","Use nematode-resistant varieties, soil solarization, nematicides"
Brinjal,Shoot and Fruit Borer,"Holes in shoots and fruits, wilting of shoots, fruit rot","Remove and destroy infested shoots/fruits, use pheromone traps, apply insecticides like Spinosad"
Brinjal,Phomopsis Blight,"Dark brown lesions on stems and fruits, fruit rot","Use disease-free seedlings, remove infected parts, apply fungicides like Mancozeb"
Brinjal,Verticillium Wilt,"Yellowing of leaves, wilting, brown streaks in vascular tissue","Grow resistant varieties, crop rotation, avoid planting in infected soil"
Brinjal,Fusarium Wilt,"Wilting, yellowing leaves, brown streaks in roots","Use resistant varieties, soil solarization, proper irrigation management"
Brinjal,Powdery Mildew,"White powdery patches on leaves, curling and distortion","Ensure air circulation, remove infected leaves, apply Sulfur or Potassium bicarbonate sprays"
Brinjal,Cercospora Leaf Spot,"Small circular brown spots on leaves with yellow halo, leaf drop","Remove affected leaves, fungicides like Copper oxychloride, crop rotation"
Brinjal,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, soil solarization, destroy infected plants"
Brinjal,Anthracnose,"Sunken dark lesions on fruits, fruit rot","Use resistant varieties, remove infected fruits, fungicides like Carbendazim"
Brinjal,Whitefly Infestation,"Yellowing leaves, sticky honeydew, reduced fruit yield","Introduce natural predators, yellow sticky traps, insecticides like Imidacloprid"
Brinjal,Leaf Curl Virus,"Leaf curling, thickened leaves, stunted growth","Use resistant varieties, control whitefly vectors, remove infected plants"
Potato,Late Blight,"Dark lesions on leaves and stems, white fungal growth, tuber rot","Use resistant varieties, proper drainage, fungicides like Mancozeb or Metalaxyl"
Potato,Early Blight,"Small dark brown spots with concentric rings on leaves, yellowing","Remove affected leaves, crop rotation, fungicides like Chlorothalonil"
Potato,Common Scab,Rough corky lesions on tuber surface,"Plant in slightly acidic soil (pH 5–5.2), use certified seed, crop rotation"
Potato,Black Scurf (Rhizoctonia),"Black sclerotia on tubers, poor sprouting, stunted growth","Use disease-free seed tubers, seed treatment with fungicides like Carbendazim"
Potato,Fusarium Wilt,"Yellowing of leaves, wilting, vascular browning","Use resistant varieties, avoid planting in infected soil, crop rotation"
Potato,Potato Cyst Nematode,"Stunted growth, yellowing leaves, cysts on roots","Use resistant varieties, crop rotation, soil fumigation"
Potato,Powdery Scab,"Raised lesions on tubers, scabby roots","Use disease-free seed, avoid waterlogged soil, crop rotation"
Potato,Blackleg,"Soft black stem base, rotting of tubers","Use certified seed, proper field drainage, apply bactericides"
Potato,Leaf Roll Virus,"Upward rolling of leaves, dark green leaves, stunted plants","Use virus-free seed, remove infected plants, control aphid vectors"
Potato,Aphid Infestation,"Curling and yellowing of leaves, reduced yield","Introduce natural predators, insecticides like Imidacloprid, remove heavily infested plants"
Lady’s Finger,Yellow Vein Mosaic Virus,"Yellowing and curling of leaves, stunted growth, poor fruiting","Use resistant varieties, control whitefly vectors, remove infected plants"
Lady’s Finger,Powdery Mildew,"White powdery patches on leaves and buds, leaf curling","Ensure proper spacing, remove infected parts, apply Sulfur or Potassium bicarbonate sprays"
Lady’s Finger,Leaf Spot,"Small brown or black spots on leaves, premature leaf drop","Remove affected leaves, fungicides like Mancozeb or Copper oxychloride"
Lady’s Finger,Fusarium Wilt,"Yellowing of lower leaves, wilting, brown vascular streaks","Use resistant varieties, crop rotation, soil solarization"
Lady’s Finger,Root Knot Nematode,"Swollen roots (galls), stunted growth, yellow leaves","Grow resistant varieties, soil solarization, nematicides"
Lady’s Finger,Cercospora Leaf Spot,Small circular spots with brown centers on leaves,"Remove infected leaves, crop rotation, apply fungicides"
Lady’s Finger,Anthracnose,"Dark sunken spots on pods and stems, pod rot","Use resistant varieties, remove infected plant parts, apply fungicides like Carbendazim"
Lady’s Finger,Shoot and Fruit Borer,"Holes in shoots and fruits, wilting of shoots","Remove and destroy infested shoots/fruits, use pheromone traps, insecticides like Spinosad"
Lady’s Finger,Powdery Scab,"Scabby tubers (rare, on okra roots), reduced yield","Crop rotation, avoid waterlogging, apply fungicides if severe"
Lady’s Finger,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew, reduced yield","Introduce natural predators, yellow sticky traps, insecticides like Imidacloprid"
Chili,Anthracnose,"Sunken dark lesions on fruits, fruit rot, leaf spots","Use resistant varieties, remove infected fruits, apply fungicides like Carbendazim"
Chili,Powdery Mildew,"White powdery growth on leaves, leaf curling","Ensure air circulation, remove infected leaves, apply Sulfur or Potassium bicarbonate sprays"
Chili,Bacterial Leaf Spot,"Small water-soaked spots on leaves, leaf drop, fruit lesions","Use disease-free seeds, copper-based bactericides, crop rotation"
Chili,Fusarium Wilt,"Yellowing of leaves, wilting, brown streaks in stems","Use resistant varieties, crop rotation, soil solarization"
Chili,Phytophthora Blight,"Water-soaked lesions on stems and fruits, sudden plant collapse","Improve drainage, remove infected plants, apply fungicides like Metalaxyl"
Chili,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Chili,Stem Gall Nematode,"Galls on stems, stunted growth, poor fruiting","Use resistant varieties, soil fumigation, crop rotation"
Chili,Leaf Curl Virus,"Curling and thickening of leaves, reduced flowering","Grow resistant varieties, control whitefly vectors, remove infected plants"
Chili,Thrips Infestation,"Silvering of leaves, deformed fruits, reduced yield","Introduce natural predators, yellow sticky traps, insecticides like Spinosad"
Chili,Root-Knot Nematode,"Root galls, stunted growth, yellowing leaves","Use nematode-resistant varieties, soil solarization, nematicides"
Cucumber,Powdery Mildew,"White powdery patches on leaves and stems, leaf curling","Ensure proper spacing, remove infected parts, apply Sulfur or Potassium bicarbonate sprays"
Cucumber,Downy Mildew,"Yellow angular spots on leaves, grayish fungal growth on underside","Grow resistant varieties, proper drainage, apply fungicides like Mancozeb"
Cucumber,Anthracnose,"Sunken dark spots on fruits, stems, and leaves","Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Cucumber,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control cucumber beetles, remove infected plants"
Cucumber,Mosaic Virus,"Mottled light and dark green leaves, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Cucumber,Fusarium Wilt,"Yellowing of lower leaves, wilting, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Cucumber,Leaf Spot,"Small circular brown spots on leaves, leaf drop","Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Cucumber,Cucumber Beetle Infestation,"Holes in leaves, stunted growth, vector for bacterial wilt","Use yellow sticky traps, insecticides like Imidacloprid, crop rotation"
Cucumber,Root-Knot Nematode,"Swollen roots (galls), stunted growth, yellowing leaves","Use nematode-resistant varieties, soil solarization, nematicides"
Cucumber,Gummy Stem Blight,"Dark lesions on stems and leaves, gummy exudates","Remove infected parts, crop rotation, apply fungicides like Mancozeb"
Bottle Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure air circulation, apply Sulfur or Potassium bicarbonate sprays"
Bottle Gourd,Downy Mildew,"Yellow angular spots on leaves, grayish fungal growth underside","Grow resistant varieties, ensure proper drainage, apply fungicides like Mancozeb"
Bottle Gourd,Anthracnose,"Dark sunken spots on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Bottle Gourd,Fusarium Wilt,"Wilting, yellowing of leaves, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Bottle Gourd,Gummy Stem Blight,"Dark lesions on stems and leaves, gummy exudates","Remove infected plant parts, fungicides like Mancozeb, crop rotation"
Bottle Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Bottle Gourd,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Bottle Gourd,Leaf Spot,"Small brown circular spots on leaves, premature leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Bottle Gourd,Root-Knot Nematode,"Swollen roots (galls), stunted plants, yellowing leaves","Grow resistant varieties, soil solarization, nematicides"
Bottle Gourd,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew, reduced yield","Introduce natural predators, yellow sticky traps, insecticides like Imidacloprid"
Bitter Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure air circulation, apply Sulfur or Potassium bicarbonate sprays"
Bitter Gourd,Downy Mildew,"Yellow angular spots on leaves, grayish fungal growth underside","Grow resistant varieties, improve drainage, apply fungicides like Mancozeb"
Bitter Gourd,Anthracnose,"Dark sunken spots on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Bitter Gourd,Fusarium Wilt,"Wilting, yellowing leaves, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Bitter Gourd,Gummy Stem Blight,"Dark lesions on stems and leaves, gummy exudates","Remove infected plant parts, apply fungicides like Mancozeb, crop rotation"
Bitter Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Bitter Gourd,Bacterial Wilt,"Sudden wilting, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Bitter Gourd,Leaf Spot,"Small circular brown spots on leaves, premature leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Bitter Gourd,Fruit Rot,"Soft brown decay on fruits, water-soaked lesions","Remove infected fruits, improve drainage, fungicides like Mancozeb"
Bitter Gourd,Root-Knot Nematode,"Swollen roots (galls), stunted plants, yellowing leaves","Grow resistant varieties, soil solarization, nematicides"
Cabbage,Black Rot,"V-shaped yellow lesions on leaf margins, black veins","Use disease-free seedlings, crop rotation, remove infected plants"
Cabbage,Downy Mildew,"Yellow patches on upper leaf surface, white fungal growth underside","Improve air circulation, fungicides like Mancozeb, crop rotation"
Cabbage,Clubroot,"Swollen, distorted roots, stunted growth, yellow leaves","Use resistant varieties, liming acidic soils, crop rotation"
Cabbage,Alternaria Leaf Spot,Dark brown circular spots with concentric rings on leaves,"Remove affected leaves, apply fungicides like Mancozeb"
Cabbage,Fusarium Wilt,"Yellowing of lower leaves, wilting, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Cabbage,Powdery Mildew,"White powdery growth on leaves, leaf curling","Ensure proper spacing, remove infected leaves, apply Sulfur sprays"
Cabbage,Cabbage Aphid Infestation,"Clusters of small green aphids on leaves, curling, stunted growth","Introduce natural predators, insecticides like Imidacloprid"
Cabbage,Bacterial Soft Rot,"Soft, water-soaked lesions on heads, foul odor","Remove infected plants, proper drainage, avoid injury to heads"
Cabbage,White Rust,"White pustules on leaf underside, yellowing leaves","Use resistant varieties, remove infected leaves, apply fungicides"
Cabbage,Downy Spot (Peronospora),"Small yellow spots on upper leaves, fuzzy growth underneath","Improve air circulation, fungicides like Mancozeb, crop rotation"
Cauliflower,Downy Mildew,"Yellow patches on upper leaf surface, white fungal growth underside","Ensure proper spacing, improve air circulation, apply fungicides like Mancozeb"
Cauliflower,Black Rot,"V-shaped yellow lesions on leaf margins, black veins","Use disease-free seedlings, crop rotation, remove infected plants"
Cauliflower,Clubroot,"Swollen, distorted roots, stunted growth, yellow leaves","Use resistant varieties, lime acidic soils, crop rotation"
Cauliflower,Alternaria Leaf Spot,Dark brown circular spots with concentric rings on leaves,"Remove infected leaves, fungicides like Mancozeb"
Cauliflower,Fusarium Wilt,"Wilting, yellowing of lower leaves, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Cauliflower,Powdery Mildew,"White powdery growth on leaves, leaf curling","Proper spacing, remove infected leaves, Sulfur sprays"
Cauliflower,Aphid Infestation,"Clusters of small green aphids on leaves, leaf curling, stunted growth","Introduce natural predators, insecticides like Imidacloprid"
Cauliflower,Bacterial Soft Rot,"Soft, water-soaked lesions on heads, foul smell","Remove infected plants, proper drainage, avoid injury to heads"
Cauliflower,White Rust,"White pustules on leaf underside, yellowing leaves","Use resistant varieties, remove infected leaves, fungicides"
Cauliflower,Downy Spot (Peronospora),"Small yellow spots on upper leaves, fuzzy growth underneath","Improve air circulation, fungicides like Mancozeb, crop rotation"
Carrot,Alternaria Leaf Blight,"Brown to black spots with concentric rings on leaves, leaf blight","Remove affected leaves, apply fungicides like Mancozeb, crop rotation"
Carrot,Powdery Mildew,"White powdery growth on leaves, leaf curling","Ensure proper spacing, remove infected leaves, apply Sulfur sprays"
Carrot,Downy Mildew,"Yellow patches on leaves, grayish fungal growth on underside","Grow resistant varieties, improve air circulation, fungicides like Mancozeb"
Carrot,Cavity Spot,"Small sunken lesions on roots, black centers","Use disease-free seeds, proper soil drainage, crop rotation"
Carrot,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Carrot,Bacterial Soft Rot,"Soft, water-soaked lesions on roots, foul smell","Remove infected roots, proper drainage, avoid injury during harvest"
Carrot,Leaf Spot (Cercospora),"Small circular brown spots on leaves, leaf drop","Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Carrot,Fusarium Wilt,"Yellowing and wilting of leaves, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Carrot,Aphid Infestation,"Curling and yellowing of leaves, reduced growth","Introduce natural predators, insecticides like Imidacloprid"
Carrot,Powdery Scab,"Raised lesions on roots, scabby appearance","Use disease-free seeds, avoid waterlogged soil, crop rotation"
Spinach,Downy Mildew,"Yellow patches on upper leaf surface, grayish fungal growth underneath","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Spinach,Powdery Mildew,"White powdery growth on leaves, leaf curling","Remove infected leaves, ensure spacing, apply Sulfur sprays"
Spinach,Leaf Spot (Cercospora),Small circular brown or black spots on leaves,"Remove affected leaves, apply fungicides like Copper oxychloride, crop rotation"
Spinach,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Spinach,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, use resistant varieties, apply fungicides"
Spinach,Bacterial Leaf Spot,"Small water-soaked spots, leaf yellowing, premature drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Spinach,Downy Spot (Peronospora),"Yellow spots on upper leaf surface, fuzzy gray growth underneath","Improve air circulation, fungicides like Mancozeb, crop rotation"
Spinach,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Spinach,Root-Knot Nematode,"Swollen roots, stunted plants, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Spinach,Leaf Blight,"Brown lesions on older leaves, leaf drop","Remove affected leaves, apply fungicides, crop rotation"
